Id Arbeidssted;Forvalt.location.coordinates.XCoordinate;Forvalt.location.coordinates.YCoordinate;ArbeidsstedOgTariffavtale.ID Tariffavtale
50008547;6,5436658;60,06929018;50008547 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50257363;10,69363482;60,79999069;50257363 210100 - Virke Landsoverenskomsten
50268655;10,66410585;59,43604614;50268655 213100 - Virke Bok og Papiravtalen
50267408;10,50786176;60,42108294;50267408 210100 - Virke Landsoverenskomsten
50320067;10,48613823;59,77779201;50320067 213100 - Virke Bok og Papiravtalen
50323706;10,84189709;59,91383566;50323706 210100 - Virke Landsoverenskomsten
50325294;5,73423054;58,97072356;50325294 210100 - Virke Landsoverenskomsten
50324725;10,25465572;60,16475047;50324725 210100 - Virke Landsoverenskomsten
50321460;6,66066376;58,41621332;50321460 210100 - Virke Landsoverenskomsten
50311627;11,96041294;61,75709864;50311627 210100 - Virke Landsoverenskomsten
50309723;10,99305616;59,25156821;50309723 210100 - Virke Landsoverenskomsten
